"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"7","female","Moscow","2","2","0","0","0","252","270283"
"33","female","Moscow, Moscow","0","2","0","0","0","968","880918"
"116","female","город Пушкино, Россия","5","16","0","0","0","2434","983719"
"4","male","Moscow, Moscow","0","3","0","0","0","83","347852"
"55","female","Moskva","28","3","0","0","0","1692","833022"
"62","female","Раменское","0","2","0","0","0","647","427965"
"52","male","Moscow","4","2","0","0","0","384","348200"
"93","female","Moskva","1","2","0","0","0","534","735677"
"162","female","Moscow, Russia","3","3","0","0","0","1796","564258"
"107","male","город Санкт-Петербург, Россия","101","3","0","0","0","3758","660465"
"49","female","город Глазов, Россия","16","3","0","0","0","937","374523"
"62","female","Москва, Россия","2","4","0","0","0","1586","295429"
"114","female","Moscow","24","2","0","0","0","1163","457885"
"87","female","Москва","0","2","0","0","0","1175","473701"
"45","female","город Москва, Россия","2","2","0","0","0","173","240143"
"13","female","None","0","2","0","0","0","136","978116"
"16","female","MOSCOW","1","2","0","0","0","1981","710677"
"16","male","Moscow","0","2","0","0","0","951","535513"
"24","female","город Москва, Россия","2","4","0","0","0","4130","976584"
"49","female","Moskva","0","2","0","0","0","702","481088"
"55","male","Serpukhov, Russia","9","9","0","0","0","1194","752853"
"31","female","Moskva","2","2","0","0","0","206","381234"
"24","female","Moskovsskaya","5","4","0","0","0","459","268341"
"62","female","NY","3","2","0","0","0","1150","347161"
"44","male","Moscow, Russia","5","2","0","0","0","497","348850"
"24","male","Moskva","4","2","0","0","0","276","113394"
"24","female","Moscow","0","2","0","0","0","401","626717"
"36","male","город Москва, Россия","2","2","0","0","0","474","179373"
"16","female","Moscow, Russia","1","2","0","0","0","1263","723483"
"116","male","город Москва, Россия","10","2","0","0","0","1894","927430"
"143","female","город Москва, Россия","0","4","0","0","0","3715","771313"
"49","female","Moskva","0","2","0","0","0","334","862518"
"7","male","Moscow, 48","1","2","0","0","0","670","634580"
"80","male","Moscow, Russia","0","2","0","0","0","1241","360169"
"35","female","город Москва, Россия","1","2","0","0","0","820","751012"
"41","female","Москва","1","2","0","0","0","554","479703"
"73","female","город Москва, Россия","6","2","0","0","0","899","427466"
"42","female","Moskva","0","2","0","0","0","1018","347247"
"36","female","Moskovsskaya","1","2","0","0","0","460","957069"
"60","male","Moskva","2","4","0","0","0","868","364703"
"306","female","город Москва, Россия","1","5","0","0","0","1728","185470"
