"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"298","male","New York, NY","8","4","0","0","0","7046","367528"
"236","male","New York, NY","12","3","0","0","0","3732","192295"
"79","female","New York","35","7","0","0","0","1178","195955"
"26","male","New York, New York","4","3","0","0","0","611","609495"
"203","male","Elizabethtown, PA","16","15","0","0","0","2028","120983"
"392","male","Monterrey, Mexico","8","2","0","0","0","511","486556"
"200","male","New York, NY","21","12","0","0","0","1168","490866"
"104","female","Mexico City, Mexico","18","2","0","0","0","5397","630222"
"75","female","New York, NY","0","2","0","0","0","3167","221723"
"94","female","New York, NY","0","2","0","0","0","1458","351166"
"4","male","Los Angeles, CA","0","6","0","0","0","351","789181"
"101","male","Rome","8","2","0","0","0","2200","817023"
"318","male","New York, NY, United States","12","12","0","0","0","9904","773386"
"86","male","New York, NY","125","28","0","0","0","1845","528508"
"384","female","Rubbertramp, USA","14","3","0","0","0","1191","734901"
"65","female","New York, NY","0","5","0","0","0","1189","212276"
"1000","male","New York, NY","97","4","0","0","0","5869","821142"
"113","male","Jersey City","14","3","0","0","0","2778","510749"
"78","female","New York, NY","3","2","0","0","0","546","356269"
"125","male","New York, NY","93","19","0","0","0","2813","204540"
"35","male","New York, NY","0","2","0","0","0","55","403632"
"28","male","New York, NY","1","4","0","0","0","268","246219"
"25","male","Göteborg, Sweden","9","2","0","0","0","591","550090"
"159","female","New York, NY ","0","7","0","0","0","2481","882880"
"10","male","Yokohama","0","2","0","0","0","1104","490074"
"230","male","New York City ","23","8","0","0","0","7079","414086"
"296","male","Istanbul, Türkiye","435","2","0","0","0","2450","827004"
"86","female","Brooklyn","9","15","0","0","0","625","847089"
"153","female","Brooklyn, NY","3","5","0","0","0","549","281322"
"8","male","Bronx, NY","0","2","0","0","0","355","571338"
"150","female","Brooklyn, NY","173","6","0","0","0","1793","795987"
"58","male","Chicago, Illinois","4","2","0","0","0","2510","330678"
"616","male","New York, NY","31","20","0","0","0","5548","554519"
"300","female","Brussels, BRU","0","2","0","0","0","2618","334871"
"130","male","Bangkok, Thailand","1","3","0","0","0","4348","866386"
"88","male","New York, NY","2","2","0","0","0","552","276678"
"46","male","New York, NY","0","2","0","0","0","532","296418"
"159","None","Harlem, NY","17","10","0","0","0","1471","527626"
"29","male","New York, NY","2","3","0","0","0","874","608812"
"115","female","Brooklyn, NY","20","4","0","0","0","1017","434710"
"62","male","New York, NY","1","3","0","0","0","674","731585"
"45","female","Brooklyn, NY","13","17","0","0","0","3616","570381"
"57","None","New York, NY","27","2","0","0","0","785","310703"
"38","male","Corona, NY","13","2","0","0","0","3535","730022"
"61","female","New York, NY","19","2","0","0","0","1914","490164"
"22","female","México","35","4","0","0","0","2572","347357"
"131","female","New York, NY","6","2","0","0","0","2238","992317"
"26","male","Northville, MI","0","2","0","0","0","1077","110057"
"189","male","Brooklyn, New York","18","5","0","0","0","1148","870933"
"90","male","Harlem","16","3","0","0","0","1574","866452"
"97","male","Los Angeles, CA","8","9","0","0","0","2891","547764"
"161","male","New York, NY","5","4","0","0","0","933","410908"
"168","male","Milwaukee, WI","1","4","0","0","0","754","836077"
"99","male","CT","0","2","0","0","0","1096","317174"
"8","male","Broadway, Worcestershire","0","2","0","0","0","52","583389"
"27","female","Gainesville, FL","8","2","0","0","0","337","671468"
"69","female","New York, NY","0","2","0","0","0","847","947469"
"28","female","New York, NY","6","4","0","0","0","856","747234"
"54","female","New York, NY","0","5","0","0","0","692","594163"
"269","male","BH - SP - NYC - BSAS","8","2","0","0","0","820","459225"
"21","male","Distrito Federal","7","2","0","0","0","391","739778"
"263","female","New York, NY","18","6","0","0","0","2162","108721"
"30","male","New York, NY","26","5","0","0","0","2415","721578"
"61","female","New York, NY","2","2","0","0","0","526","976034"
"89","female","NY","0","3","0","0","0","3650","432653"
"200","female","Los Angeles, CA","275","38","0","0","0","11506","135520"
"372","male","New York, NY","36","4","0","0","0","5004","961218"
"38","male","Brooklyn , NY","15","2","0","0","0","842","125441"
"149","male","Columbus, OH","0","10","0","0","0","4365","883272"
"79","female","Brooklyn, NY","2","3","0","0","0","1075","306661"
"128","male","Puebla, Mexico","0","2","0","0","0","8033","198710"
"24","female","NY","8","2","0","0","0","741","541705"
"79","female","Hoboken, NJ","0","2","0","0","0","1075","175312"
"24","male","New York, NY","0","2","0","0","0","2525","358061"
"44","female","Brooklyn, NY","36","22","0","0","0","2327","255486"
"68","male","New York, NY","1","3","0","0","0","3249","929676"
"47","female","New York, New York","4","3","0","0","0","719","182140"
"25","male","Bronx, NY","3","2","0","0","0","2264","188792"
"72","female","Brooklyn, NY","0","5","0","0","0","696","503847"
"32","female","New York, NY","6","3","0","0","0","355","211943"
"114","male","New York","0","2","0","0","0","150","387186"
"15","female","San Diego, CA","4","2","0","0","0","412","502494"
"83","female","New York, NY","4","12","0","0","0","1100","447328"
"16","male","Myers Corner, NY","0","2","0","0","0","975","273479"
"202","male","Brooklyn, NY","79","45","0","0","0","9364","285408"
"75","female","None","3","2","0","0","0","260","594193"
"47","male","New York, NY","1","2","0","0","0","2841","679900"
"25","male","New York, NY","0","2","0","0","0","503","323353"
"44","male","Lazio","0","2","0","0","0","942","790880"
"208","female","NYC","3","24","0","0","0","600","574334"
"39","female","New York, NY","2","19","0","0","0","541","399300"
"15","male","NY","5","2","0","0","0","1193","293070"
"44","female","Somerville, NJ","0","2","0","0","0","191","498580"
